Sie lachte mich aus.	She laughed at me.
Ich habe ein Geheimnis.	I've got a secret.
Rufen Sie die Polizei!	Call the police!
Hast du noch Fragen?	Do you have any further questions?
Er tat sein Bestes.	He did the best he could.
Das Baby war nackt.	The baby was naked.
Warum setzen Sie sich nicht?	Why don't you have a seat?
Damals war ich noch Student.	In those days, I was still a student.
Sie sehen beschäftigt aus.	You look busy.
Muss ich im Bett bleiben?	Must I stay in bed?
Wer spricht französisch?	Who speaks French?
Ich liebe Sprachen.	I love languages.
Geh uns zur Hand!	Lend us a hand.
Das war knapp!	That was a close call.
Das war knapp.	I had a close shave.
Sie sind in der Hand Gottes.	They are in the hands of the gods.
Ich war ein gesundes Kind.	I was a healthy child.
Bist du mit Reden fertig?	Have you finished talking?
Der Junge blieb still.	The boy remained silent.
Was tut euch leid?	What are you sorry about?
Ich war sehr froh.	I felt very happy.
Bringe deinen Freund zu mir!	Lead your friend to me!
Ich wies ihm den Weg.	I showed him the way.
Tu mir das nicht an!	Don't do this to me!
Damals waren wir jünger.	We were younger then.
Er hat schlechte Augen.	His eyesight is bad.
Öffnet bitte die Augen.	Open your eyes, please.
Rennt nicht so schnell!	Don't run so fast.
Auf was wartest du?	What are you waiting for?
Wir alle lachten und lachten.	We all laughed and laughed.
Was für eine hübsche Blume.	What a pretty flower.
Sprich mich bitte nicht an!	Please don't speak to me.
Du bist rot im Gesicht.	Your face is red.
Wir sehen uns in der Hölle!	See you in hell!
Die Katze überraschte mich!	The cat caught me by surprise!
Es war drei Uhr morgens.	It was three in the morning.
Tu es mir nicht an.	Don't you do this to me.
Wann gehen Sie los?	When will you leave?
Sie braucht Hilfe.	She needs help.
Wir trinken alles.	We drink everything.
Wir mussten zu Fuß gehen.	We had to walk.
Könnte ich dir helfen?	Could I help you?
Haben Sie ein Ticket?	Do you have a ticket?
Ich geh nach Hause.	I'm going home.
Das Mädchen hat Pferde gern.	The girl likes horses.
Sprich nicht so mit ihm!	Don't speak to him like that.
Wisst ihr, wer ich bin?	Do you know who I am?
Sie mag niemanden.	She doesn't like anyone.
Nett Sie zu treffen.	Pleased to meet you.
Er trug eine rote Hose.	He wore red pants.
Sei still! Du redest zu viel!	Shut up! You're talking too much.
Ich habe vor, zu studieren.	I am going to study.
Ich will niemandem weh tun.	I don't want to hurt anyone.
Hast du einen Vorschlag?	Would you have a suggestion ?
Sie muss mehr schlafen.	She needs to sleep more.
Ich war nie in den USA.	I have never been to the U.S.
Nein, du darfst nicht.	No, you may not.
Er hat elf Kinder.	He has eleven children.
Er sprach.	He was speaking.
Sie arbeitet bei einer Bank.	She works in a bank.
Bin ich hier sicher?	Am I safe here?
Ich denke, sie lügt.	I think she's lying.
Viele Leute warteten auf ihn.	A lot of people were waiting for him.
Möchtest du ins Kino gehen?	Would you like to go to a movie?
Du kannst auf sie zählen.	You can count on her.
Setz dich auf die Bank.	Sit down on the bench.
Mein Vater raucht.	My father smokes.
Benutzt sie alle.	Use them all.
Sprechen Sie bitte langsam.	Please speak slowly.
Es lohnt sich einfach nicht.	It's just not worth it.
Eine Hand wäscht die andere.	You scratch my back and I'll scratch yours.
Sage nichts meinem Freund.	Don't tell my boyfriend.
Ich verstehe nicht warum.	I don't understand why.
Von wo aus rufst du an?	Where are you calling from?
Pass gut auf dich auf.	Take good care of yourself.
Pass gut auf dich auf!	Remember to take good care of yourself!
Hast du ein Ticket?	Do you have a ticket?
Wie war dein Flug?	How was your flight?
Das war dumm.	That was stupid.
Wir kamen später nach Hause.	We arrived home late.
Es war nicht besonders gut.	It wasn't very good.
Wir werden es nie schaffen.	We'll never make it.
Sie wurde immer hübscher.	She has become more and more beautiful.
Das Schwarze gehört mir.	That black one is mine.
Das will ich unbedingt.	I really do want that.
Jetzt bin ich traurig.	I'm sad now.
Reich mir das Salz, bitte.	Pass me the salt, please.
Reich mir bitte das Salz.	Pass me the salt, please.
Haben Sie Reis?	Do you have rice?
Ich habe ihnen alles gesagt.	I told them everything.
Ich bürstete meinen Hut auf.	I gave my hat a brush.
Auf welcher Seite bist du?	What page are you on?
Was machst du am Freitag?	What do you plan to do on Friday?
Passen alle in den Wagen?	Is there enough room in the car for everybody?
Ich fische auf dem See.	I am fishing on the lake.
Ich mache mir Sorgen.	I'm worried.
Sagen Sie schon.	Say it.
Was isst Ken?	What is Ken eating?
Es war dumm.	It was stupid.
Sie gab uns ein Geschenk.	She gave us a present.
Warum hat sie das getan?	Why did she do that?
Bitte pass auf dich auf!	Please take care of yourself.
Ich konnte ihr helfen.	I was able to help her.
Ich traue dir nicht.	I don't trust you.
Warten Sie nicht!	Don't wait!
Guten Tag, mein Herr!	Hello sir!
Sie kaufte ein Huhn.	She bought a chicken.
Wann fährt das Schiff ab?	What time does the ship leave?
Er verliert nicht gern.	He doesn't like to lose.
Was zur Hölle geht hier vor?	What the hell is going on here?
Wo willst du gerne sitzen?	Where would you like to sit?
Es geschah vor einem Jahr.	It happened one year ago.
Niemand kann es verstehen.	Nobody can understand it.
Sie wird fahren lernen.	She is going to learn how to drive.
Wir gehen ins Kino.	We are going to the cinema.
Gehen wir ins Kino!	Let’s go to the movies!
Warum fragst du mich das?	Why are you asking me this?
Sind Sie fertig?	Are you ready?
Sie verkaufen alles hier.	They sell everything here.
Jeder, wie er will.	Every man in his way.
Was sollen wir tun?	What are we to do?
Sie gab ihnen einige Äpfel.	She gave them some apples.
Du musst vorsichtiger sein.	You need to be more careful.
Trinkst du Tee oder Kaffee?	Do you drink tea or coffee?
Ich will Deutsch sprechen.	I want to speak German.
Setz deine Brille auf!	Put your glasses on.
Wie lief deine Reise?	How was your trip?
Sei nett zu anderen!	Be kind to others!
Hast du Reis?	Do you have rice?
Hast du nicht zwei Computer?	Don't you have two computers?
Ich irre mich, oder?	I'm wrong, am I not?
Wie endet der Film?	How does the film end?
Mein Flug geht um sechs.	My plane leaves at six o'clock.
Sein Hund bellt mich an.	His dog barks at me.
Ich hoffe, das funktioniert.	I hope this works.
Sie spricht kaum Japanisch.	She can hardly speak Japanese.
Er rennt sehr schnell.	He runs very fast.
Mach den Mund auf.	Open your mouth.
Sie müssen vorsichtiger sein.	You need to be more careful.
Er kam nicht zum Frühstück.	He didn't show up at the breakfast.
Das kommt mir spanisch vor.	I don't like the look of it.
Mir kommt das spanisch vor.	I don't like the look of it.
Fällt euch was dazu ein?	Do you have any ideas about it?
Bitte komm und hilf mir.	Please come and help me.
Brot und Spiele.	Bread and games.
Möchtest du Zucker und Milch?	Would you like sugar and milk?
Ich hoffe, es funktioniert.	I hope it works.
Sie wohnt nahe am See.	She lives near the beach.
Rufe die Polizei!	Call the police!
Du solltest ihn treffen.	You should meet him.
Ich bin nicht Ihrer Meinung.	I don't agree with you.
Bitte schließen Sie die Tür.	Close the door, please.
Schließen Sie bitte die Tür!	Shut the door, please.
Sollen wir auf dich warten?	Shall we wait for you here?
Er gab mir ein Geschenk.	He gave me a present.
Ich möchte den Grund wissen.	I want to know the reason.
Sagen Sie mir die Wahrheit.	Tell me the truth.
Du siehst beschäftigt aus.	You look busy.
Ein Fisch kann schwimmen.	A fish can swim.
Ich werde ihn fragen.	I'll ask him.
Wir brauchen Hilfe.	We need help.
Ihr seid, was ihr esst.	You are what you eat.
Ich bin ohne Sorgen.	I've got no worries.
Der Krieg dauerte zwei Jahre.	The war lasted two years.
Lüge mich bitte nicht an!	Please don't lie to me.
Sie kann Klavier spielen.	She can play the piano.
Ihr habt aber viele Fragen!	You certainly have a lot of questions.
Warum habe ich das getan?	Why have I done it?
Er lieh mir zwei Bücher.	He lent me two books.
Er war sehr froh.	He was very happy.
Eine Menge Fische gingen ein.	A lot of fish perished.
Ich gehe für Sie einkaufen.	I'll do the shopping for you.
Du kannst auf ihn zählen.	You can count on him.
Ich fragte ihn um Rat.	I turned to him for advice.
Hab ihr das in meiner Größe?	Do you have this in my size?
Was für ein hübsches Mädchen!	What a pretty girl!
Der Typ gefällt mir wirklich.	I really like that guy.
Ich bin fertig.	I am ready.
Magst du diesen Garten?	Do you like this garden?
Das schmeckt nach Huhn.	It tastes like chicken.
Du machst dir Sorgen.	You're worried.
Ich habe kein Ticket.	I don't have a ticket.
Ich nehme ein Bad.	I'm taking a bath.
Ich wünsche dir viel Glück.	I wish you the best of luck.
Ich nehme mir morgen frei.	I am taking tomorrow off.
Hast du irgendwas zu essen?	Have you anything to eat?
Eine Größe passt für alle.	One size fits all.
Ich will hier bleiben.	I want to stay here.
Komm mit uns!	Come along with us.
Komm mit uns.	Come along with us.
Weiß er, wie Sie sich fühlen?	Does he know how you feel?
Sie redete die ganze Zeit.	She was talking all the time.
Was trägst du zur Party?	What are you going to wear to the party?
Er saß auf einer Bank.	He was sitting on a bench.
Mein Vater mag Tennis.	My father likes tennis.
Die Eltern hören zu.	The parents are listening.
Ich kaufe dir einen neuen.	I'll buy you a new one.
Du kannst so gut singen!	You're so good at singing.
Sie hörten Radio.	They were listening to the radio.
Alles hat seinen Klang.	Everything has a particular sound, its alone.
Muss ich eine Rede halten?	Do I have to make a speech?
Wollt ihr Tee oder Kaffee?	You want to drink tea or coffee?
Das wäre zu viel gesagt.	It is saying too much.
Mache mehr Salz in die Suppe.	Put more salt in the soup.
Warum hörst du mir nicht zu?	Why don't you listen to me?
Ich brauche einen Bleistift.	I need a pencil.
Wie geht es eurer Familie?	How is your family?
Du willst ehrlich sein.	You want to be honest.
Nun erst recht nicht!	Now less than ever!
Was tut Ihnen leid?	What are you sorry about?
Arbeiten Sie?	Are you working?
Er arbeitet bei einer Bank.	He works for a bank.
Ein Hund jagte eine Katze.	A dog chased a cat.
Mein Bruder mag Sport nicht.	My brother doesn't go in for sports.
Ja, ich habe eine Tochter.	Yes, I have a daughter.
Wir stiegen in ein Auto.	We got into a car.
Er hat einen guten Ruf.	He has a good reputation.
Wir müssen darüber wissen.	We must know about it.
Sie gab ihm ein Geschenk.	She gave him a present.
Mein Onkel hat ein Hotel.	My uncle runs a hotel.
Sie können auf ihn zählen.	You can count on him.
Treffen wir uns um eins.	Let's meet at one o'clock.
In diesem Haus spukt es.	This house is haunted.
Ich würde gerne helfen.	I'd like to help.
Dafür sind Freunde da.	That's what friends are for.
Möchten Sie essen?	Would you like to eat?
Sie sah nicht erfreut aus.	She didn't look pleased.
Er weiß, wie man kämpft.	He knows how to fight.
Bitte warte ein Moment.	Please wait a moment.
Er kommt aus Paris.	He's a Parisian.
Der Himmel war rot.	The sky was red.
Ich gebe dir ein Getränk aus.	I'll buy you a drink.
Ich bin gegen diese Ehe.	I'm against the marriage.
Ich musste arbeiten.	I had to work.
Du bist dumm.	You are stupid.
Kommen wir zur Sache!	Let's get down to business.
Weiß sie, wie du dich fühlst?	Does she know how you feel?
Du lügst doch, nicht wahr?	You're lying, aren't you?
Das Konzert fängt gleich an.	The concert is about to start.
Warum hat er das getan?	Why did he do that?
Der Fisch kann schwimmen.	The fish can swim.
Milch macht uns stark.	Milk makes us strong.
Wo willst du hin?	Where are you off to?
Wollt ihr noch ein Glas Wein?	Would you like another glass of wine?
Ich spare für ein neues Auto.	I'm saving up to buy a new car.
Geh, wann du willst.	Go when you want.
Wir haben Wichtigeres zu tun.	We have more important things to do.
Unser Sohn starb im Krieg.	Our son died in the war.
Wo kann ich etwas einkaufen?	Where can I do some shopping?
Das wolltest du doch, oder?	That's what you wanted, isn't it?
Ich liebe dieses Foto.	I love this picture.
Er spielt gut Fußball.	He is good at soccer.
Hilf mir, bitte.	Please help me.
Reist du gern?	Do you like to travel?
Fisch, bitte.	Fish, please.
Wo in der Türkei wohnt ihr?	Where in Turkey do you live?
Wo wohnt ihr in der Türkei?	Where in Turkey do you live?
Komm mir nicht zu nahe!	Don't come near me.
Ich arbeite noch daran.	I'm still working on it.
Wir machen uns Sorgen.	We're worried.
Ich bin eine Person.	I'm a person.
Warum hasst du mich?	Why do you hate me?
Ich denke, er lügt.	I think he's lying.
Wie gut tanzt du?	How well can you dance?
Sag ihm dass er warten soll.	Tell him to wait.
Ich bin in einer Stunde da.	I'll get there in an hour.
Sie stehen unter der Dusche.	They're in the shower.
Ich erinnere mich.	I remember.
Warum schließt du die Tür ab?	Why are you locking the door?
Haben Sie eine Freundin?	Do you have a girlfriend?
Ich gehe für dich einkaufen.	I'll do the shopping for you.
Hören Sie, was ich sage?	Do you hear what I'm saying?
Ich weiß, wie du dich fühlst.	I know how you feel.
Fällt Ihnen was dazu ein?	Do you have any ideas about it?
Mein Bauch tut mir weh.	My stomach hurts.
Wir rufen die Polizei.	We are calling the police.
Hier sind wir sicher.	We're safe here.
Ich habe es eilig.	I'm in a hurry.
Ich sage dir die Wahrheit.	I tell you the truth.
Hab keine Angst.	Don't be afraid.
Bist du fertig?	Are you ready to go?
Dies gab mir neue Hoffnung.	This quenched my hope.
Ich stehe in deiner Schuld.	I am in your debt.
Warum bist du so still?	Why are you so quiet?
Kannst du Fahrrad fahren?	Can you ride a bicycle?
Ich fühlte mich schlecht.	I felt bad.
Jemand klopft an die Tür.	Somebody's knocking at the door.
Sage nichts meiner Frau!	Don't tell my wife.
Schöner Tag, oder?	Beautiful day, isn't it?
Ich mag Klavier spielen.	I like to play the piano.
Hast du eine Freundin?	Do you have a girlfriend?
Wart ihr gestern Abend müde?	Were you tired last night?
Man kann auf ihn zählen.	You can count on him.
Auf ihn kann man zählen.	He can be counted on.
Er wohnt nahe am See.	He lives near the beach.
Drei Leute warteten vor mir.	There were three people waiting before me.
Vor mir warteten drei Leute.	There were three people waiting before me.
Sie fiel von der Leiter.	She fell down the ladder.
Es wird ihm nicht schaden.	It will do him no harm.
Sie spielt gerne Tennis.	She is fond of playing tennis.
Mehr Kinder, mehr Hände.	More kids, more hands.
Mache dir keine Sorgen!	Don't be worried.
Hat er eine Freundin?	Does he have a girlfriend?
Nein, nicht wirklich.	No, not really.
Magst du Fisch?	Do you like fish?
Du fehlst mir.	I miss you.
Ich schlief.	I was sleeping.
Er blieb zwei Tage im Hotel.	He stayed at the hotel for two days.
Erst dann wurde es mir klar.	Only then did I realize it.
Ich fürchte, ihr irrt euch.	I'm afraid you're wrong.
Die Jungen sahen sich an.	The boys looked at each other.
Ich habe keine Freundin.	I don't have a girlfriend.
Ihr müsst selbst denken.	You must think by yourselves.
Wirst du ihnen helfen?	Will you help them?
Sie waren am Schlafen.	They were sleeping.
Keine Liebe ohne Leid.	Love without sorrow cannot be.
